MIN vs. UTA,11/20/2019,L,240,95,35,89,39.3,14,45,31.1,11,21,52.4,12,39,51,13,5,9,14,20,-8,
CHA @ BKN,11/20/2019,L,240,91,30,81,37.0,11,33,33.3,20,26,76.9,8,33,41,17,8,3,16,23,-10,
MIL vs. POR,11/21/2019,W,240,137,50,106,47.2,16,43,37.2,21,26,80.8,18,40,58,32,7,3,12,20,8,
POR @ MIL,11/21/2019,L,240,129,50,103,48.5,17,39,43.6,12,14,85.7,9,32,41,32,6,11,8,27,-8,
PHX vs. NOP,11/21/2019,L,240,121,40,86,46.5,13,31,41.9,28,32,87.5,9,29,38,28,10,3,14,19,-3,
NOP @ PHX,11/21/2019,W,240,124,47,88,53.4,16,35,45.7,14,22,63.6,8,36,44,28,8,6,18,25,3,
UTA vs. GSW,11/22/2019,W,240,113,43,85,50.6,14,32,43.8,13,16,81.3,8,40,48,23,4,10,21,14,4,
OKC vs. LAL,11/22/2019,L,240,127,49,93,52.7,11,31,35.5,18,20,90.0,6,31,37,28,8,3,12,23,-3,
LAL @ OKC,11/22/2019,W,240,130,45,88,51.1,17,31,54.8,23,29,79.3,11,34,45,32,7,6,16,20,3,
GSW @ UTA,11/22/2019,L,240,109,43,94,45.7,12,28,42.9,11,12,91.7,6,31,37,28,11,3,9,18,-4,
MIA @ CHI,11/22/2019,W,240,116,39,79,49.4,14,38,36.8,24,28,85.7,9,35,44,33,10,3,19,17,8,
CLE @ DAL,11/22/2019,L,240,101,37,86,43.0,12,29,41.4,15,17,88.2,8,26,34,23,3,3,10,15,-42,
CHI vs. MIA,11/22/2019,L,240,108,41,90,45.6,10,30,33.3,16,20,80.0,14,27,41,23,11,3,13,24,-8,
DAL vs. CLE,11/22/2019,W,240,143,58,100,58.0,20,37,54.1,7,9,77.8,10,39,49,31,8,7,5,18,42,
SAC @ BKN,11/22/2019,L,240,97,39,86,45.3,4,26,15.4,15,19,78.9,7,26,33,26,8,2,16,25,-19,
BKN vs. SAC,11/22/2019,W,240,116,41,81,50.6,12,34,35.3,22,31,71.0,13,35,48,22,9,3,18,18,19,
CHA @ WAS,11/22/2019,L,240,118,48,93,51.6,14,34,41.2,8,8,100,7,37,44,24,9,5,16,18,-7,
WAS vs. CHA,11/22/2019,W,240,125,48,91,52.7,14,34,41.2,15,20,75.0,6,35,41,34,10,3,11,13,7,
DEN vs. BOS,11/22/2019,W,240,96,39,88,44.3,7,28,25.0,11,13,84.6,11,37,48,24,7,5,18,17,4,
HOU @ LAC,11/22/2019,L,240,119,39,84,46.4,15,43,34.9,26,38,68.4,11,32,43,22,11,2,15,27,-3,
SAS @ PHI,11/22/2019,L,240,104,43,85,50.6,6,18,33.3,12,16,75.0,3,29,32,21,6,3,11,15,-11,
LAC vs. HOU,11/22/2019,W,240,122,45,87,51.7,13,33,39.4,19,24,79.2,10,37,47,27,9,4,19,32,3,
DET vs. ATL,11/22/2019,W,240,128,49,82,59.8,17,34,50.0,13,20,65.0,12,30,42,30,13,10,19,17,25,
ATL @ DET,11/22/2019,L,240,103,38,88,43.2,10,37,27.0,17,17,100,10,24,34,26,12,2,20,18,-25,
PHI vs. SAS,11/22/2019,W,240,115,46,89,51.7,10,26,38.5,13,19,68.4,13,38,51,32,8,4,15,21,11,
BOS @ DEN,11/22/2019,L,240,92,33,81,40.7,7,27,25.9,19,23,82.6,5,35,40,21,12,6,13,19,-4,
IND vs. ORL,11/23/2019,W,240,111,43,79,54.4,10,24,41.7,15,16,93.8,7,35,42,26,6,6,19,14,5,
ORL @ IND,11/23/2019,L,240,106,43,92,46.7,13,31,41.9,7,9,77.8,7,26,33,24,11,5,14,16,-5,
MIA @ PHI,11/23/2019,L,240,86,30,75,40.0,6,24,25.0,20,27,74.1,9,29,38,12,6,4,18,16,-27,
DET @ MIL,11/23/2019,L,240,90,37,91,40.7,10,35,28.6,6,10,60.0,6,34,40,22,7,3,16,18,-14,
PHI vs. MIA,11/23/2019,W,240,113,42,83,50.6,14,29,48.3,15,17,88.2,8,36,44,28,11,2,15,27,27,
CHI @ CHA,11/23/2019,W,240,116,43,95,45.3,22,47,46.8,8,12,66.7,13,26,39,27,12,3,13,20,1,
PHX @ MIN,11/23/2019,W,240,100,33,96,34.4,10,35,28.6,24,26,92.3,12,44,56,22,9,3,7,17,2,
MIL vs. DET,11/23/2019,W,240,104,41,84,48.8,13,37,35.1,9,18,50.0,9,40,49,25,10,8,21,14,14,
NOP @ UTA,11/23/2019,L,240,120,42,101,41.6,17,41,41.5,19,20,95.0,9,29,38,21,7,6,10,24,-8,
MEM vs. LAL,11/23/2019,L,240,108,43,89,48.3,14,30,46.7,8,13,61.5,12,35,47,28,12,3,22,19,-1,
UTA vs. NOP,11/23/2019,W,240,128,42,82,51.2,15,36,41.7,29,33,87.9,7,42,49,29,2,4,18,21,8,
LAL @ MEM,11/23/2019,W,240,109,38,84,45.2,13,39,33.3,20,29,69.0,11,29,40,19,12,7,16,14,1,
TOR @ ATL,11/23/2019,W,240,119,40,88,45.5,13,37,35.1,26,30,86.7,12,30,42,22,5,5,17,16,3,
SAS @ NYK,11/23/2019,W,240,111,40,75,53.3,12,23,52.2,19,28,67.9,9,38,47,26,7,3,22,17,7,
MIN vs. PHX,11/23/2019,L,240,98,38,91,41.8,12,42,28.6,10,17,58.8,9,48,57,26,2,10,14,23,-2,
POR @ CLE,11/23/2019,L,240,104,39,87,44.8,14,40,35.0,12,16,75.0,6,32,38,21,6,6,10,20,-6,
CLE vs. POR,11/23/2019,W,240,110,37,87,42.5,10,31,32.3,26,32,81.3,9,43,52,19,9,2,13,14,6,
CHA vs. CHI,11/23/2019,L,240,115,44,80,55.0,12,28,42.9,15,22,68.2,10,33,43,26,5,7,20,17,-1,
ATL vs. TOR,11/23/2019,L,240,116,47,90,52.2,14,34,41.2,8,11,72.7,8,30,38,32,9,7,15,27,-3,
NYK vs. SAS,11/23/2019,L,240,104,40,93,43.0,15,40,37.5,9,15,60.0,10,27,37,30,12,3,11,22,-7,
HOU vs. DAL,11/24/2019,L,240,123,45,98,45.9,10,44,22.7,23,31,74.2,15,39,54,26,5,2,11,26,-14,
